,stock_id,stock_name,industry_category,list_type,list_date
3845,3056,富華新,建材營造,twse,2025-09-30
772,3057,喬鼎,電子工業,twse,2025-09-25
3833,3058,立德,電子工業,twse,2025-09-30
3753,3059,華晶科,電子工業,twse,2025-09-30
3755,3060,銘異,電腦及週邊設備業,twse,2025-09-30
436,3061,璨圓,電子工業,twse,2024-12-04
3757,3062,建漢,電子工業,twse,2025-09-30
453,3063,飛信,半導體業,twse,2024-12-04
3758,3064,泰偉,文化創意業,tpex,2025-09-30
3759,3066,李洲,光電業,tpex,2025-09-30
3760,3067,全域,其他電子類,tpex,2025-09-30
3761,3071,協禧,電腦及週邊設備業,tpex,2025-09-30
3762,3073,天方能源,綠能環保類,tpex,2025-09-30
3764,3078,僑威,電子零組件業,tpex,2025-09-30
415,3080,威力盟,電子工業,twse,2024-12-04
3776,3081,聯亞,通信網路業,tpex,2025-09-30
3834,3083,網龍,文化創意業,tpex,2025-09-30
3766,3085,新零售,數位雲端類,tpex,2025-09-30
3767,3086,華義,文化創意業,tpex,2025-09-30
3768,3088,艾訊,電腦及週邊設備業,tpex,2025-09-30
283,3089,億杰,電子零組件業,tpex,2023-07-22
3770,3090,日電貿,電子零組件業,twse,2025-09-30
3772,3092,鴻碩,電子零組件業,twse,2025-09-30
3773,3093,港建*,其他電子類,tpex,2025-09-30
3775,3094,聯傑,電子工業,twse,2025-09-30
3751,3095,及成,通信網路業,tpex,2025-09-30
3750,3097,拍檔,電腦及週邊設備業,emerging,2025-09-30
3749,3105,穩懋,半導體業,tpex,2025-09-30
3748,3114,好德,電子零組件業,tpex,2025-09-30
3725,3115,富榮綱,電子零組件業,tpex,2025-09-30
3726,3117,年程,電子零組件業,emerging,2025-09-30
3727,3118,進階,生技醫療業,tpex,2025-09-30
3728,3122,笙泉,半導體業,tpex,2025-09-30
3729,3128,昇銳,光電業,tpex,2025-09-30
3730,3130,一零四,數位雲端,twse,2025-09-30
3731,3131,弘塑,其他電子類,tpex,2025-09-30
3733,3135,凌航,電子工業,twse,2025-09-30
3735,3138,耀登,電子工業,twse,2025-09-30
3736,3141,晶宏,半導體業,tpex,2025-09-30
498,3142,遠茂,電子工業,twse,2024-12-04
94,3144,新揚科,電子零組件業,tpex,2021-12-16
3737,3147,大綜,資訊服務業,tpex,2025-09-30
3739,3149,正達,電子工業,twse,2025-09-30
3742,3150,鈺寶-創,電子工業,twse,2025-09-30
